,url,time
242,http://localhost:5000/vulnerable/1/page?id=1,1.859974
243,http://localhost:5000/vulnerable/1/page?id=1,1.055254
244,http://localhost:5000/vulnerable/1/page?id=1,2.805452
245,http://localhost:5000/vulnerable/1/page?id=1,5.303376
246,http://localhost:5000/vulnerable/1/page?id=1,3.701791
247,http://localhost:5000/vulnerable/1/page?id=1,1.97853
248,http://localhost:5000/vulnerable/1/page?id=1,2.92431
249,http://localhost:5000/vulnerable/1/page?id=1,1.999495
250,http://localhost:5000/vulnerable/1/page?id=1,5.409819
251,http://localhost:5000/vulnerable/1/page?id=1,2.421962
252,http://localhost:5000/vulnerable/1/page?id=1,1.486238
253,http://localhost:5000/vulnerable/1/page?id=1,1.927073
254,http://localhost:5000/vulnerable/1/page?id=1,2.01179
255,http://localhost:5000/vulnerable/1/page?id=1,1.367416
256,http://localhost:5000/vulnerable/1/page?id=1,3.676658
257,http://localhost:5000/vulnerable/1/page?id=1,2.550514
258,http://localhost:5000/vulnerable/1/page?id=1,2.090996
259,http://localhost:5000/vulnerable/1/page?id=1,3.334757
260,http://localhost:5000/vulnerable/1/page?id=1,4.345546
261,http://localhost:5000/vulnerable/1/page?id=1,3.507797
262,http://localhost:5000/vulnerable/1/page?id=1,3.761867
263,http://localhost:5000/vulnerable/1/page?id=1,3.530236
264,http://localhost:5000/vulnerable/1/page?id=1,2.891857
265,http://localhost:5000/vulnerable/1/page?id=1,3.524554
266,http://localhost:5000/vulnerable/1/page?id=1,1.176511
267,http://localhost:5000/vulnerable/1/page?id=1,2.12761
268,http://localhost:5000/vulnerable/1/page?id=1,2.012335
269,http://localhost:5000/vulnerable/1/page?id=1,2.950737
270,http://localhost:5000/vulnerable/1/page?id=1,4.088044
271,http://localhost:5000/vulnerable/1/page?id=1,4.02
272,http://localhost:5000/vulnerable/1/page?id=1,3.223108
273,http://localhost:5000/vulnerable/1/page?id=1,0.937287
274,http://localhost:5000/vulnerable/1/page?id=1,0.881123
275,http://localhost:5000/vulnerable/1/page?id=1,7.173173
276,http://localhost:5000/vulnerable/1/page?id=1,2.162843
277,http://localhost:5000/vulnerable/1/page?id=1,2.004586
278,http://localhost:5000/vulnerable/1/page?id=1,2.525822
279,http://localhost:5000/vulnerable/1/page?id=1,6.466685
280,http://localhost:5000/vulnerable/1/page?id=1,2.573084
281,http://localhost:5000/vulnerable/1/page?id=1,1.852463
282,http://localhost:5000/vulnerable/1/page?id=1,2.450536
283,http://localhost:5000/vulnerable/1/page?id=1,2.062454
284,http://localhost:5000/vulnerable/1/page?id=1,2.035487
285,http://localhost:5000/vulnerable/1/page?id=1,3.139548
286,http://localhost:5000/vulnerable/1/page?id=1,3.419308
287,http://localhost:5000/vulnerable/1/page?id=1,4.046533
288,http://localhost:5000/vulnerable/1/page?id=1,4.346231
289,http://localhost:5000/vulnerable/1/page?id=1,2.375782
290,http://localhost:5000/vulnerable/1/page?id=1,2.762388
291,http://localhost:5000/vulnerable/1/page?id=1,14.364525
292,http://localhost:5000/vulnerable/1/page?id=1,2.642759
293,http://localhost:5000/vulnerable/1/page?id=1,3.449135
294,http://localhost:5000/vulnerable/1/page?id=1,4.241763
295,http://localhost:5000/vulnerable/1/page?id=1,3.978703
296,http://localhost:5000/vulnerable/1/page?id=1,4.916039
297,http://localhost:5000/vulnerable/1/page?id=1,4.304559
298,http://localhost:5000/vulnerable/1/page?id=1,2.12409
299,http://localhost:5000/vulnerable/1/page?id=1,1.537351
300,http://localhost:5000/vulnerable/1/page?id=1,2.558995
301,http://localhost:5000/vulnerable/1/page?id=1,1.644093
302,http://localhost:5000/vulnerable/1/page?id=1,0.98437
303,http://localhost:5000/vulnerable/1/page?id=1,7.586288
304,http://localhost:5000/vulnerable/1/page?id=1,2.708051
305,http://localhost:5000/vulnerable/1/page?id=1,1.409889
306,http://localhost:5000/vulnerable/1/page?id=1,3.927621
307,http://localhost:5000/vulnerable/1/page?id=1,4.045253
308,http://localhost:5000/vulnerable/1/page?id=1,1.166482
309,http://localhost:5000/vulnerable/1/page?id=1,3.65103
310,http://localhost:5000/vulnerable/1/page?id=1,3.664433
311,http://localhost:5000/vulnerable/1/page?id=1,1.193611
312,http://localhost:5000/vulnerable/1/page?id=1,2.986252
313,http://localhost:5000/vulnerable/1/page?id=1,1.889702
314,http://localhost:5000/vulnerable/1/page?id=1,5.33239
315,http://localhost:5000/vulnerable/1/page?id=1,1.126157
316,http://localhost:5000/vulnerable/1/page?id=1,2.599852
317,http://localhost:5000/vulnerable/1/page?id=1,4.544566
318,http://localhost:5000/vulnerable/1/page?id=1,4.226745
319,http://localhost:5000/vulnerable/1/page?id=1,3.644472
320,http://localhost:5000/vulnerable/1/page?id=1,0.806377
321,http://localhost:5000/vulnerable/1/page?id=1,2.937392
322,http://localhost:5000/vulnerable/1/page?id=1,1.262439
323,http://localhost:5000/vulnerable/1/page?id=1,3.298583
324,http://localhost:5000/vulnerable/1/page?id=1,3.580464
325,http://localhost:5000/vulnerable/1/page?id=1,4.307974
326,http://localhost:5000/vulnerable/1/page?id=1,2.390778
327,http://localhost:5000/vulnerable/1/page?id=1,1.921295
328,http://localhost:5000/vulnerable/1/page?id=1,2.699796
329,http://localhost:5000/vulnerable/1/page?id=1,5.525633
330,http://localhost:5000/vulnerable/1/page?id=1,4.161024
331,http://localhost:5000/vulnerable/1/page?id=1,2.615851
332,http://localhost:5000/vulnerable/1/page?id=1,3.729385
333,http://localhost:5000/vulnerable/1/page?id=1,3.336875
334,http://localhost:5000/vulnerable/1/page?id=1,2.286831
335,http://localhost:5000/vulnerable/1/page?id=1,1.711764
336,http://localhost:5000/vulnerable/1/page?id=1,1.148479
337,http://localhost:5000/vulnerable/1/page?id=1,2.339074
338,http://localhost:5000/vulnerable/1/page?id=1,1.578763
339,http://localhost:5000/vulnerable/1/page?id=1,3.338167
340,http://localhost:5000/vulnerable/1/page?id=1,2.51616
